Column,Layer,TDC_id,TDC_Ch_id,T0[ns],TMax[ns],ADC_peak[ns],ADC_width[ns],Resolution[um],Efficiency
1,1,20,2,289.99634960087644,191.89984023537647,170.9826853095404,26.508007641279875,120.20406995050814,0.9772930982969824
1,2,20,3,288.48881610508084,192.19212116544116,164.42485117365743,25.00161064948152,111.20191848817116,0.9882635032811711
1,3,20,0,289.07929208255433,191.88796216228405,165.90215923787565,24.843337068821633,119.95320601000584,0.9948075201432408
1,4,20,1,288.5349699160986,192.69224896472002,164.60527043487147,25.656539196900518,107.84758324883386,0.996016928055763
1,5,21,2,281.77336050797487,201.77753582588275,160.50348709170882,23.894574463410663,107.87032265952801,0.9959349593495935
1,6,21,3,277.6288336273144,203.98217849734033,134.23988805640334,20.981284534888115,107.50983411638757,0.9912361623616236
1,7,21,0,280.362832844256,203.87677474004147,146.77687693685965,22.873837222279803,108.5046192455276,0.9975010412328197
1,8,21,1,279.46777841355106,202.52590864331154,146.78975203224547,22.900596861474725,109.9380815418673,0.9868631848766422
2,1,20,6,287.558554060241,190.8458033392683,149.34365066141868,23.727637302749066,113.46257489322484,0.9845268082043901
2,2,20,7,286.2301076914708,192.22192376992308,143.91101317832948,21.051282944295846,112.19339263631228,0.9887940234791889
2,3,20,4,285.7343182767674,190.71993885346427,140.88938018026283,22.429577628056972,108.31024754119052,0.9920944215566195
2,4,20,5,286.27661163703897,191.8684037939679,147.14003133314674,22.502366131730327,116.47880997089553,0.9926746987951808
2,5,21,6,277.96269281754724,202.3043643854213,133.45531994447248,21.238966626985174,111.35335675662584,0.9929251036838254
2,6,21,7,282.07792768816796,202.38265390930985,168.87055267825582,25.359333190539587,109.59334249905304,0.993458801927932
2,7,21,4,279.24859152330527,203.10038309602345,144.42663984941132,22.966253183718543,106.47684181130548,0.9928483014715995
2,8,21,5,278.17350086308466,203.64475879629362,128.10384989326948,20.04773500495843,107.27341678874576,0.9921864653688254
3,1,20,10,289.9864008389915,189.32099666401734,182.33991302707096,26.226458155310794,117.18570864908584,0.9830770818285006
3,2,20,11,288.6923201753839,190.05907704768526,160.78213569096175,24.421412323449772,115.02761644502509,0.9905401570333933
3,3,20,8,288.276093729489,189.28152396342466,159.4652217836823,24.032317831424407,114.51285436875443,0.9935532802427001
3,4,20,9,284.8678514709514,191.21865055597846,126.05667094370844,19.619348072022426,115.59752146041238,0.9911433885395448
3,5,21,10,281.7674401190485,203.48008549226665,162.08142073855817,23.977775129721067,113.51821588401717,0.9945134276638753
